,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
35,Queen St (West),53,44,26,11,21,15,75,225,630,556,488,496,1197,1075,646,665,684,863,530,384,324,324,464,481,10277,428.2083333,2/08/2019
36,Lygon St (East),19,12,8,7,3,8,11,39,107,127,142,192,277,329,215,243,151,235,363,282,324,313,222,73,3702,154.25,2/08/2019
37,Alfred Place,16,7,3,3,5,12,97,325,802,826,525,571,1488,1307,658,462,504,650,468,198,159,172,118,63,9439,393.2916667,2/08/2019
38,Lonsdale St-Spring St (West),27,11,8,6,8,24,79,327,750,655,587,675,1097,889,626,606,610,814,599,414,225,207,432,147,9823,409.2916667,2/08/2019
39,Grattan St-Swanston St (West),9,10,4,9,4,15,39,230,652,604,638,926,1245,1102,952,1083,862,807,428,263,202,207,93,91,10475,436.4583333,2/08/2019
40,Monash Rd-Swanston St (West),23,12,3,3,3,6,33,153,662,673,680,690,870,733,579,665,740,815,527,272,186,127,100,55,8610,358.75,2/08/2019
41,Tin Alley-Swanston St (West),19,7,4,1,3,3,22,53,227,218,256,240,317,334,273,316,291,318,223,144,122,100,53,39,3583,149.2916667,2/08/2019
42,Little Collins St-Swanston St (East),140,80,37,23,36,53,151,428,856,970,977,1134,1901,2186,1622,1630,1894,2376,1968,1562,1611,1409,1135,706,24885,1036.875,2/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
44,Pelham St (South),7,3,2,2,2,6,27,65,296,267,209,343,427,495,257,209,324,297,167,97,84,52,54,28,3720,155,2/08/2019
45,Melbourne Central-Elizabeth St (East),147,92,65,39,69,92,185,464,945,956,1036,1438,2123,2455,1965,2069,2212,2769,2328,1681,1431,1371,856,554,27342,1139.25,2/08/2019
46,QVM-Queen St (East),35,12,9,8,2,11,58,141,319,351,425,485,705,720,559,616,510,339,306,203,234,176,156,119,6499,270.7916667,2/08/2019
47,QVM-Therry St (South),58,38,43,36,12,14,62,90,177,210,368,407,516,560,384,275,245,172,185,149,148,142,127,97,4515,188.125,2/08/2019
48,Faraday St-Lygon St (West),23,7,5,5,3,3,21,74,191,224,287,362,486,524,458,390,416,502,671,636,590,447,317,162,6804,283.5,2/08/2019
49,QVM-Franklin St (North),34,12,18,14,7,8,38,193,262,180,261,378,363,320,245,266,241,210,227,153,195,150,113,72,3960,165,2/08/2019
50,Elizabeth St-Lonsdale St (South),64,44,20,15,6,14,59,183,648,503,443,559,1017,1037,875,875,904,1066,910,801,798,624,528,474,12467,519.4583333,2/08/2019
51,Lincoln-Swanston (W),16,18,19,5,8,6,38,96,386,296,298,425,547,550,508,587,538,682,428,292,218,293,196,83,6533,272.2083333,2/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
53,Lonsdale St - Elizabeth St (North),39,17,14,13,6,9,89,152,395,399,407,513,728,852,675,604,621,1020,857,594,583,368,364,182,9501,395.875,2/08/2019
54,Bourke St Bridge,32,20,11,7,6,90,473,1993,4891,3643,1286,1073,2511,2087,1255,1438,3158,4440,5314,6831,903,847,4943,971,48223,2009.291667,2/08/2019
55,Bourke St - Spencer St (North),98,75,41,13,18,114,349,1101,2105,1625,1043,1208,1861,1874,1312,1490,2101,2837,2331,1706,746,616,1526,836,27026,1126.083333,2/08/2019
56,RMIT Bld 80 - 445 Swanston Street,3,4,1,3,,3,8,90,442,403,620,592,785,680,659,579,512,347,64,44,41,42,31,22,5975,259.7826087,2/08/2019
