,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
28,St Kilda Rd-Alexandra Gardens,78,44,33,35,10,20,32,85,170,203,316,494,532,557,735,826,692,693,454,276,147,115,257,74,6878,286.5833333,3/08/2019
29,Lonsdale St (South),465,427,334,332,149,116,105,58,138,209,52,519,767,890,821,975,965,1088,1188,1346,1141,995,1140,816,15036,626.5,3/08/2019
30,Lygon St (West),230,74,28,17,22,4,18,40,80,87,185,221,280,318,345,330,343,471,589,688,855,589,497,266,6577,274.0416667,3/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
32,Flinders St-Spring St (West),51,19,8,7,6,4,21,35,74,135,100,118,184,169,159,184,165,202,319,211,87,64,219,73,2614,108.9166667,3/08/2019
33,Flinders St-Spark La,42,32,13,6,12,9,28,30,85,104,129,138,173,151,195,173,217,258,229,161,108,53,227,102,2675,111.4583333,3/08/2019
34,Southbank,265,173,92,30,45,27,162,420,475,741,984,1365,1434,1526,1883,1531,1697,2360,2414,2235,1709,1123,1458,928,25077,1044.875,3/08/2019
35,Queen St (West),330,219,269,127,75,30,24,33,124,167,215,237,207,284,203,249,294,236,218,226,246,276,344,384,5017,209.0416667,3/08/2019
36,Lygon St (East),51,35,13,5,12,5,14,16,54,113,134,163,275,254,259,259,256,302,406,472,422,373,281,142,4316,179.8333333,3/08/2019
37,Alfred Place,38,26,11,10,8,11,21,56,134,169,209,189,196,178,175,129,108,156,213,155,109,66,83,61,2511,104.625,3/08/2019
38,Lonsdale St-Spring St (West),73,36,14,14,6,22,36,80,187,182,259,368,398,501,310,305,364,417,458,363,283,165,406,120,5367,223.625,3/08/2019
39,Grattan St-Swanston St (West),35,18,14,9,1,7,15,23,11,58,111,119,,257,300,188,195,252,212,133,95,48,75,54,2230,96.95652174,3/08/2019
40,Monash Rd-Swanston St (West),18,7,4,7,,3,9,20,40,126,125,140,165,158,219,197,188,210,213,113,99,38,63,36,2198,95.56521739,3/08/2019
41,Tin Alley-Swanston St (West),19,15,3,5,,2,10,19,29,76,98,114,132,124,144,125,149,166,173,70,88,25,58,32,1676,72.86956522,3/08/2019
42,Little Collins St-Swanston St (East),383,311,171,138,71,85,67,117,247,434,636,888,1274,1440,1793,1876,1800,1829,1668,1561,1466,914,890,558,20617,859.0416667,3/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
44,Pelham St (South),25,5,6,10,1,2,16,16,50,51,89,100,155,139,85,137,134,143,96,74,104,71,33,39,1581,65.875,3/08/2019
45,Melbourne Central-Elizabeth St (East),412,245,116,131,76,53,79,136,323,702,1000,1525,1801,1965,2169,2303,2157,2017,1738,1510,1184,717,671,512,23542,980.9166667,3/08/2019
46,QVM-Queen St (East),47,33,37,28,8,16,42,82,238,366,601,700,879,838,824,781,476,331,251,235,188,147,182,109,7439,309.9583333,3/08/2019
47,QVM-Therry St (South),87,91,47,60,41,54,51,81,173,249,403,573,620,504,530,376,253,153,130,159,148,80,119,111,5093,212.2083333,3/08/2019
48,Faraday St-Lygon St (West),72,24,7,6,11,3,17,24,91,232,316,410,615,594,674,602,596,625,771,813,637,566,428,176,8310,346.25,3/08/2019
49,QVM-Franklin St (North),51,23,11,6,11,10,18,119,92,160,186,290,310,313,299,275,173,186,203,115,150,130,92,60,3283,136.7916667,3/08/2019
50,Elizabeth St-Lonsdale St (South),308,201,159,135,39,40,35,57,207,276,413,633,582,761,772,736,733,815,770,714,627,444,490,510,10457,435.7083333,3/08/2019
51,Lincoln-Swanston (W),39,20,12,29,10,8,11,32,65,92,125,175,167,392,425,165,168,299,260,155,145,117,91,53,3055,127.2916667,3/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
53,Lonsdale St - Elizabeth St (North),145,84,55,41,33,7,29,67,132,216,394,519,606,755,569,559,533,611,555,469,370,311,258,185,7503,312.625,3/08/2019
54,Bourke St Bridge,154,53,24,19,13,22,76,93,177,292,604,1470,5472,8905,1169,1435,8614,1434,368,214,170,111,130,130,31149,1297.875,3/08/2019
55,Bourke St - Spencer St (North),327,165,109,76,47,58,128,208,336,559,829,1086,1506,1510,941,1013,2299,1505,957,678,524,419,437,396,16113,671.375,3/08/2019
56,RMIT Bld 80 - 445 Swanston Street,4,3,6,5,1,2,9,16,65,93,117,178,277,430,406,281,225,127,40,24,18,16,12,13,2368,98.66666667,3/08/2019
57,Flinders La-Swanston St (West) Temporary,754,549,361,234,179,146,151,225,555,996,1643,2274,2954,3166,2990,3292,3194,3180,2784,2388,2135,1630,1566,1037,38383,1599.291667,3/08/2019
58,RMIT Building 14,131,61,27,40,23,35,36,81,169,295,418,519,688,1064,904,959,903,843,751,679,513,378,306,183,10006,416.9166667,3/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
0,Bourke Street Mall (North),252,210,144,106,82,34,47,84,170,544,1286,2061,2716,3143,3326,3380,3204,2890,2287,1164,658,440,218,156,28602,1191.75,4/08/2019
1,Bourke Street Mall (South),159,85,69,36,30,24,14,34,132,286,638,1165,1613,1697,1892,1792,1518,1190,676,287,221,155,100,71,13884,578.5,4/08/2019
2,Melbourne Central,926,606,403,400,221,135,106,188,309,430,857,1173,1848,2424,2458,2392,2276,2530,2367,2266,1900,1198,847,462,28722,1196.75,4/08/2019
3,Town Hall (West),962,471,303,213,123,133,153,193,275,581,1212,1793,2568,2727,2725,2603,2687,2434,1965,1391,1201,815,476,269,28273,1178.041667,4/08/2019
4,Princes Bridge,502,322,192,174,83,61,91,136,279,694,1439,2115,2545,2976,3511,2655,2766,3192,1886,1380,986,700,1085,302,30072,1253,4/08/2019
5,Flinders Street Station Underpass,631,486,374,196,175,161,185,266,432,799,1210,1448,1664,1687,1801,1847,1875,1857,1429,1055,1075,824,543,460,22480,936.6666667,4/08/2019
6,Birrarung Marr,28,17,44,341,10,12,21,47,103,148,242,549,1416,345,323,796,1563,181,98,49,62,44,25,32,6496,270.6666667,4/08/2019
7,Webb Bridge,27,14,10,11,2,8,14,55,95,156,212,250,288,286,401,339,288,250,333,108,72,50,46,13,3328,138.6666667,4/08/2019
8,Southern Cross Station,29,15,23,25,7,22,36,35,73,126,133,126,164,172,203,130,159,153,190,107,97,75,46,33,2179,90.79166667,4/08/2019
9,Victoria Point,30,13,25,6,9,4,6,22,50,63,124,112,109,155,129,50,78,91,190,55,48,37,35,20,1461,60.875,4/08/2019
10,Waterfront City,5,12,,2,3,1,2,8,33,75,49,113,124,121,178,159,150,86,81,53,61,39,14,5,1374,59.73913043,4/08/2019
11,New Quay,70,31,19,12,3,4,10,49,122,249,327,420,424,676,1034,645,420,493,720,293,258,170,108,35,6592,274.6666667,4/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
13,Sandridge Bridge,298,267,217,145,109,122,129,130,202,312,509,645,677,606,736,748,841,828,641,426,537,364,221,284,9994,416.4166667,4/08/2019
14,State Library,310,208,155,101,49,79,54,50,163,243,541,788,1184,1500,1713,1840,1883,1736,1465,1265,1018,834,403,191,17773,740.5416667,4/08/2019
15,Collins St (North),115,104,81,58,34,23,38,72,145,352,787,952,1264,1189,1208,1099,904,672,630,362,395,210,105,88,10887,453.625,4/08/2019
16,Collins Place (South),83,45,19,29,11,24,31,39,118,160,345,298,363,396,245,403,376,255,322,145,235,137,107,49,4235,176.4583333,4/08/2019
17,Collins Place (North),27,25,16,19,7,10,12,22,45,80,113,174,154,180,126,162,157,117,148,60,94,57,65,25,1895,78.95833333,4/08/2019
18,Chinatown-Swanston St (North),425,339,193,201,97,52,21,53,67,192,384,687,1215,1300,1214,1204,1131,1134,1357,1170,994,706,430,203,14769,615.375,4/08/2019
19,Chinatown-Lt Bourke St (South),1026,356,173,133,75,76,26,65,63,127,282,479,890,892,784,660,548,781,953,876,704,494,340,117,10920,455,4/08/2019
20,Bourke St-Russell St (West),672,671,501,426,274,206,107,106,119,265,423,617,952,1057,1130,1094,1067,1145,1094,988,875,738,457,363,15347,639.4583333,4/08/2019
21,Flinders St-Elizabeth St (East),721,552,495,504,369,290,256,439,585,1084,1572,2000,2301,2558,2593,2633,2733,2750,2295,1970,1638,1260,964,621,33183,1382.625,4/08/2019
22,Spencer St-Collins St (South),96,67,54,35,34,25,40,65,112,202,293,314,245,239,273,264,327,245,288,228,191,138,94,72,3941,164.2083333,4/08/2019
23,Spencer St-Collins St (North),383,197,182,115,131,135,212,335,673,815,1028,1237,1149,1197,1746,1345,1306,1252,1724,908,710,500,369,237,17886,745.25,4/08/2019
24,Melbourne Convention Exhibition Centre,165,228,60,41,16,44,50,145,572,786,905,1354,1440,1552,2148,1830,1688,2289,1489,933,906,481,319,434,19875,828.125,4/08/2019
25,QV Market-Elizabeth St (West),196,157,110,133,80,70,108,190,334,752,1150,1599,1824,1856,1822,1401,900,662,602,582,472,388,272,161,15821,659.2083333,4/08/2019
26,QV Market-Peel St,56,34,19,12,7,7,15,49,58,173,296,446,525,548,436,377,261,221,169,119,140,103,65,37,4173,173.875,4/08/2019
27,The Arts Centre,216,138,71,66,20,60,87,116,271,786,1506,2152,2335,2595,3436,2270,2184,2541,1199,816,359,249,1076,96,24645,1026.875,4/08/2019
28,St Kilda Rd-Alexandra Gardens,48,31,22,23,16,15,21,73,117,259,375,637,805,817,934,832,795,473,230,160,114,68,83,52,7000,291.6666667,4/08/2019
29,Lonsdale St (South),659,627,455,402,226,205,102,84,113,201,419,530,699,848,771,733,802,819,945,945,675,564,397,323,12544,522.6666667,4/08/2019
30,Lygon St (West),134,111,41,8,16,9,7,23,82,162,224,250,294,347,362,383,402,479,568,620,522,341,235,115,5735,238.9583333,4/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
32,Flinders St-Spring St (West),41,26,16,8,7,11,20,34,89,120,111,163,173,135,88,105,203,95,97,34,45,65,52,37,1775,73.95833333,4/08/2019
33,Flinders St-Spark La,39,29,8,11,7,14,11,19,69,109,151,200,199,168,107,147,292,123,103,60,53,56,35,34,2044,85.16666667,4/08/2019
34,Southbank,386,283,143,95,55,38,123,201,415,838,1239,1674,1874,1869,1996,1565,1599,1877,1629,1150,918,680,581,237,21465,894.375,4/08/2019
35,Queen St (West),418,328,274,229,64,18,21,32,94,108,127,260,207,145,158,189,194,147,159,158,124,69,49,16,3588,149.5,4/08/2019
36,Lygon St (East),34,38,28,9,5,10,4,10,42,89,100,179,251,326,260,259,222,203,244,290,241,223,88,41,3196,133.1666667,4/08/2019
37,Alfred Place,62,42,11,12,3,2,20,39,113,142,140,142,115,168,133,92,99,93,100,94,61,114,67,35,1899,79.125,4/08/2019
38,Lonsdale St-Spring St (West),55,47,24,7,5,21,13,41,69,106,183,264,282,412,182,221,241,238,321,207,88,90,249,50,3416,142.3333333,4/08/2019
39,Grattan St-Swanston St (West),18,7,11,6,6,3,10,21,33,54,97,112,191,208,182,269,185,178,150,114,107,88,54,37,2141,89.20833333,4/08/2019
40,Monash Rd-Swanston St (West),18,15,10,5,2,,5,25,23,66,131,75,91,135,114,152,153,140,147,103,98,107,75,25,1715,74.56521739,4/08/2019
41,Tin Alley-Swanston St (West),16,14,15,5,2,,4,25,15,44,79,74,102,121,110,147,128,98,93,59,61,71,58,16,1357,59,4/08/2019
42,Little Collins St-Swanston St (East),392,340,260,170,99,97,93,101,195,353,682,950,1352,1258,1650,1578,1691,1354,1251,1058,1013,691,397,283,17308,721.1666667,4/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
44,Pelham St (South),14,11,8,4,,,2,23,40,68,73,83,141,115,162,115,168,143,109,66,48,45,25,35,1498,68.09090909,4/08/2019
45,Melbourne Central-Elizabeth St (East),382,250,164,103,110,81,84,187,232,622,1051,1254,1720,1815,1786,1869,1797,1696,1294,1167,843,557,353,189,19606,816.9166667,4/08/2019
46,QVM-Queen St (East),60,48,23,26,9,9,27,94,147,345,548,842,1012,1079,949,878,586,357,226,213,181,128,92,40,7919,329.9583333,4/08/2019
47,QVM-Therry St (South),116,63,79,52,42,39,42,57,120,310,414,539,610,668,545,369,260,131,146,143,113,79,85,100,5122,213.4166667,4/08/2019
48,Faraday St-Lygon St (West),56,24,8,8,4,7,6,21,76,125,309,476,493,591,594,691,540,555,566,458,340,218,113,43,6322,263.4166667,4/08/2019
49,QVM-Franklin St (North),38,38,9,11,15,13,18,28,45,126,253,300,289,327,356,289,238,164,160,118,100,116,58,53,3162,131.75,4/08/2019
50,Elizabeth St-Lonsdale St (South),415,322,210,164,86,59,26,55,159,224,291,451,537,849,640,645,599,610,496,407,368,259,120,101,8093,337.2083333,4/08/2019
51,Lincoln-Swanston (W),23,32,18,17,9,7,14,17,27,100,133,90,159,175,195,186,201,186,175,152,107,108,65,31,2227,92.79166667,4/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
53,Lonsdale St - Elizabeth St (North),157,81,65,42,33,20,18,52,109,220,338,446,470,611,531,469,444,464,420,341,269,191,118,71,5980,249.1666667,4/08/2019
54,Bourke St Bridge,57,34,23,10,18,25,29,63,174,238,404,612,1010,2179,6150,3112,686,4121,2574,325,145,138,105,78,22310,929.5833333,4/08/2019
55,Bourke St - Spencer St (North),218,148,138,117,81,54,70,157,257,447,723,741,832,1118,1306,868,774,951,1748,659,434,362,305,193,12701,529.2083333,4/08/2019
56,RMIT Bld 80 - 445 Swanston Street,11,5,4,5,4,1,2,22,39,96,135,236,224,296,334,256,229,150,41,41,27,23,6,9,2196,91.5,4/08/2019
57,Flinders La-Swanston St (West) Temporary,944,740,444,408,245,197,300,278,377,829,1468,1996,2674,2970,2921,2641,2786,2573,1930,1423,1307,901,632,333,31317,1304.875,4/08/2019
58,RMIT Building 14,123,88,54,46,19,43,30,64,153,257,449,555,720,889,852,797,847,804,709,578,439,328,199,107,9150,381.25,4/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,4/08/2019
0,Bourke Street Mall (North),43,28,16,10,15,38,94,388,871,1088,1527,2027,3483,3693,2963,3168,3127,3442,2619,1371,857,494,232,142,31736,1322.333333,5/08/2019
1,Bourke Street Mall (South),13,14,4,2,6,6,49,209,464,593,865,1125,2126,2374,1704,1630,1725,1548,928,438,190,126,63,29,16231,676.2916667,5/08/2019
2,Melbourne Central,177,133,57,40,28,77,163,387,767,807,1091,1365,2236,2390,2286,2363,2375,2810,2656,2249,2142,1482,860,522,29463,1227.625,5/08/2019
3,Town Hall (West),84,42,13,41,32,73,172,466,1038,1063,1439,1938,3025,3181,2741,2781,2793,3270,2440,1544,1340,797,499,280,31092,1295.5,5/08/2019
4,Princes Bridge,91,46,20,44,60,97,352,910,1880,1321,1108,1297,1807,1851,1785,2003,2339,3782,2273,1154,1527,1013,392,221,27373,1140.541667,5/08/2019
5,Flinders Street Station Underpass,146,60,33,98,52,194,673,1895,4056,2186,1229,1233,2116,2171,1793,1919,3032,5210,2960,1557,1047,970,529,390,35549,1481.208333,5/08/2019
6,Birrarung Marr,17,4,,,19,32,114,351,606,233,131,224,363,293,216,243,318,633,393,157,79,66,34,9,4535,206.1363636,5/08/2019
7,Webb Bridge,5,7,5,1,2,36,111,316,565,289,181,210,821,709,326,270,408,652,427,136,84,54,37,13,5665,236.0416667,5/08/2019
8,Southern Cross Station,8,7,8,2,7,85,562,2228,4460,2811,839,671,1463,1262,890,1375,3132,4660,1845,566,213,103,85,44,27326,1138.583333,5/08/2019
9,Victoria Point,7,3,1,2,4,23,108,359,719,528,270,312,521,440,283,380,656,951,418,151,75,39,29,19,6298,262.4166667,5/08/2019
10,Waterfront City,3,2,1,9,4,4,30,59,83,48,68,40,131,113,68,81,75,108,79,43,44,32,22,4,1151,47.95833333,5/08/2019
11,New Quay,18,4,14,11,3,14,88,211,378,355,282,214,534,505,288,217,281,464,345,207,177,131,79,27,4847,201.9583333,5/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,5/08/2019
13,Sandridge Bridge,83,29,10,22,46,86,278,709,1467,733,432,437,617,612,639,692,1117,2007,1106,466,334,300,200,175,12597,524.875,5/08/2019
14,State Library,96,62,26,31,18,46,85,311,695,690,783,1037,1615,1932,1783,1827,1986,2378,2062,1498,1306,771,444,177,21659,902.4583333,5/08/2019
15,Collins St (North),34,18,18,6,9,22,107,429,863,877,1163,1259,2125,2220,1562,1412,1313,1371,853,437,341,281,107,55,16882,703.4166667,5/08/2019
16,Collins Place (South),26,8,10,8,5,84,224,848,2154,1459,855,700,1727,1682,831,825,855,1387,882,293,317,126,98,86,15490,645.4166667,5/08/2019
17,Collins Place (North),4,2,6,,4,24,166,746,1828,967,518,440,604,673,573,548,1055,1835,900,231,136,74,62,58,11454,498,5/08/2019
18,Chinatown-Swanston St (North),71,54,29,33,11,31,38,93,269,220,364,592,1125,1142,962,857,904,1080,1290,1043,893,700,334,162,12297,512.375,5/08/2019
19,Chinatown-Lt Bourke St (South),53,35,24,15,37,13,26,63,244,190,252,455,682,725,514,462,429,544,698,653,758,573,351,115,7911,329.625,5/08/2019
20,Bourke St-Russell St (West),190,159,78,46,30,67,94,202,398,422,554,707,1558,1482,969,1008,1051,1232,1290,1112,945,702,457,289,15042,626.75,5/08/2019
21,Flinders St-Elizabeth St (East),209,122,80,61,72,145,622,1525,2908,2020,1899,1949,3026,3581,2929,3020,3714,4808,3772,2603,1933,1522,992,510,44022,1834.25,5/08/2019
22,Spencer St-Collins St (South),21,18,23,16,5,54,228,675,1423,825,524,512,1065,1041,612,597,751,1230,649,322,189,148,118,47,11093,462.2083333,5/08/2019
23,Spencer St-Collins St (North),82,26,33,4,38,237,800,2456,4594,2925,1734,1620,2414,2390,1981,2469,3946,5119,2876,1458,892,713,524,230,39561,1648.375,5/08/2019
24,Melbourne Convention Exhibition Centre,35,57,31,24,30,66,202,643,1473,1145,754,767,1136,1144,1101,1193,1375,1755,1347,539,362,343,159,71,15752,656.3333333,5/08/2019
25,QV Market-Elizabeth St (West),91,86,36,43,16,37,114,243,598,540,614,748,1179,1061,714,685,744,802,757,575,500,405,252,187,11027,459.4583333,5/08/2019
26,QV Market-Peel St,9,13,9,6,2,9,21,58,178,164,162,108,179,197,154,220,165,214,179,120,110,67,53,38,2435,101.4583333,5/08/2019
27,The Arts Centre,32,20,14,32,56,94,353,858,1908,1292,1154,1240,1556,1659,1433,1607,2225,3288,2307,876,1219,790,220,102,24335,1013.958333,5/08/2019
28,St Kilda Rd-Alexandra Gardens,11,8,5,3,11,18,71,203,387,233,360,406,619,746,541,599,670,744,407,140,151,75,29,16,6453,268.875,5/08/2019
29,Lonsdale St (South),187,156,92,80,64,37,82,185,373,265,362,546,948,991,661,676,667,916,930,779,641,575,402,211,10826,451.0833333,5/08/2019
30,Lygon St (West),39,18,9,10,9,17,23,100,159,167,173,199,337,360,261,254,289,321,346,389,356,297,198,51,4382,182.5833333,5/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,5/08/2019
32,Flinders St-Spring St (West),3,3,4,1,5,30,80,208,618,410,200,168,331,295,290,282,495,627,308,120,68,43,37,20,4646,193.5833333,5/08/2019
33,Flinders St-Spark La,5,4,5,2,1,26,45,133,297,213,207,162,319,366,235,225,299,395,245,100,115,67,54,27,3547,147.7916667,5/08/2019
34,Southbank,89,79,13,11,21,57,308,886,1798,1066,940,986,2354,2230,1443,1312,1632,2472,1743,950,723,602,270,173,22158,923.25,5/08/2019
35,Queen St (West),7,5,3,8,3,23,53,276,758,584,444,497,1027,1000,721,528,566,763,428,211,174,118,49,37,8283,345.125,5/08/2019
36,Lygon St (East),14,7,2,3,6,3,10,44,89,93,123,149,344,285,207,176,188,250,271,219,170,106,53,23,2835,118.125,5/08/2019
37,Alfred Place,17,2,,,15,16,84,308,836,728,494,468,1275,1135,506,413,427,681,346,141,94,82,61,44,8173,371.5,5/08/2019
38,Lonsdale St-Spring St (West),16,15,10,17,5,41,109,267,798,627,602,583,1043,897,601,539,519,608,315,143,132,94,74,36,8091,337.125,5/08/2019
39,Grattan St-Swanston St (West),21,9,5,3,6,12,40,129,596,664,819,1196,1115,1267,1051,919,966,1114,850,521,378,218,91,34,12024,501,5/08/2019
40,Monash Rd-Swanston St (West),14,5,2,,6,4,24,147,630,707,547,502,599,620,679,712,1015,1183,744,413,398,233,90,23,9297,404.2173913,5/08/2019
41,Tin Alley-Swanston St (West),11,3,5,,,2,21,54,248,258,203,187,245,319,283,270,335,350,271,143,102,79,56,11,3456,157.0909091,5/08/2019
42,Little Collins St-Swanston St (East),108,66,16,20,19,53,136,489,975,745,866,1112,2105,2305,1669,1679,1659,2166,1577,1201,1133,781,395,185,21460,894.1666667,5/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,5/08/2019
44,Pelham St (South),13,,,,5,5,30,62,253,279,288,245,393,442,286,246,247,397,264,202,113,88,54,27,3939,187.5714286,5/08/2019
45,Melbourne Central-Elizabeth St (East),88,48,29,22,34,62,185,551,1098,1022,969,1370,2108,2412,1773,1813,1998,2379,1794,1170,821,571,357,174,22848,952,5/08/2019
46,QVM-Queen St (East),18,11,7,2,2,12,30,135,276,273,252,266,391,377,279,314,293,299,268,161,145,106,69,41,4027,167.7916667,5/08/2019
47,QVM-Therry St (South),54,45,42,16,14,11,25,44,91,90,135,119,213,195,179,145,133,164,134,124,105,111,118,79,2386,99.41666667,5/08/2019
48,Faraday St-Lygon St (West),18,,2,4,8,1,24,82,169,195,320,290,471,464,385,362,381,499,534,381,318,224,167,31,5330,231.7391304,5/08/2019
49,QVM-Franklin St (North),16,12,10,4,1,6,32,73,130,158,163,167,275,219,203,175,220,215,176,149,75,86,68,38,2671,111.2916667,5/08/2019
50,Elizabeth St-Lonsdale St (South),106,20,19,15,10,39,49,219,723,599,504,599,1024,1018,867,730,826,853,638,498,392,296,100,69,10213,425.5416667,5/08/2019
51,Lincoln-Swanston (W),32,12,3,3,3,3,10,99,345,483,399,550,550,607,491,613,660,896,499,361,292,181,88,41,7221,300.875,5/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,5/08/2019
53,Lonsdale St - Elizabeth St (North),32,19,9,2,10,24,31,142,412,388,376,502,747,884,606,545,631,811,626,429,361,197,138,52,7974,332.25,5/08/2019
54,Bourke St Bridge,19,15,3,9,12,90,557,1938,4458,2944,1114,907,2350,2067,1118,1293,2784,4049,1603,477,197,158,92,54,28308,1179.5,5/08/2019
55,Bourke St - Spencer St (North),101,27,34,18,26,112,325,1207,2486,1665,1129,1041,1662,1628,1214,1318,1939,2562,1381,656,431,340,263,119,21684,903.5,5/08/2019
56,RMIT Bld 80 - 445 Swanston Street,8,,1,1,2,2,2,102,440,424,574,609,752,691,958,547,427,362,48,40,42,28,11,9,6080,264.3478261,5/08/2019
57,Flinders La-Swanston St (West) Temporary,122,59,25,28,53,125,333,996,1961,1554,1889,2124,2767,2867,2914,2835,3136,4003,2821,1809,1498,1042,570,402,35933,1497.208333,5/08/2019
